gene
MAL2
SLC9A3R2
SLC22A31
C5ORF38
MTRNR2L12
C1R
MTRNR2L8
SFTA3
CRNDE
SNHG25
U47924
LINC00240
LINC01006
SUCLG2-AS1
CCDC113
WDR34
H1F0
FAM189B
CCDC58
MIR210HG
C11ORF1
RALY-AS1
SNHG19
LINC00578
LINC01315
AC074183
TARS
LINC01023
SNHG18
SAA1
KLHL23
LINC00261
RRNAD1
PVT1
C11ORF49
ODF3B
HIST1H2AC
SFTA1P
LINC00886
LRRC29
CYHR1
FAM86B1
GTF2IRD2
DEXI
ZNF117
MARCH6
C11ORF96
CCZ1B
LINC01003
WDR66
MAPK8IP2
ARSE
GARS
ARHGAP40
AC007405
ADSSL1
LINC00484
SEMA3B
LINC00960
PSMG3-AS1
MIR4458HG
HIST1H2BD
LRRC69
WDR60
TP53TG1
ALG1L
AC093627
MISP3
TCTEX1D2
TMEM99
HIST3H2A
METTL7B
CAPN8
ST5
MPP6
GTF2IRD2B
TRIM73
PAXIP1-AS1
URB1-AS1
OSMR-AS1
LTBP4
SAA2
AC073283
CCDC57
LINC00467
SMIM4
