sample,cells,persister_count,non_persister_count,persister_pct,mean_prob,std_prob,threshold_used,coverage,mask_stage,kept_genes
FH_5238_2,5053,563,4490,11.141895903423709,0.8008110523223877,0.2077208012342453,0.9767499089241027,995,pre_cpm,1000
FH_6333_3,2815,709,2106,25.186500888099467,0.819113552570343,0.23390528559684753,0.9767499089241027,995,pre_cpm,1000
AGG_AML_deep_NVS-IC_Batch1-2,30486,11051,19435,36.24942596601719,0.8892305493354797,0.16132263839244843,0.9767499089241027,995,pre_cpm,1000
FH_5143_2,8116,2943,5173,36.261705273533764,0.8955047130584717,0.15437103807926178,0.9767499089241027,995,pre_cpm,1000
FH_6088_2,7373,3103,4270,42.085989420859896,0.9085948467254639,0.14663782715797424,0.9767499089241027,995,pre_cpm,1000
FH_6088_3,6801,3319,3482,48.80164681664461,0.9126665592193604,0.14700676500797272,0.9767499089241027,995,pre_cpm,1000
GSM3396161_HEALTHY,2994,501,2493,16.733466933867735,0.627406120300293,0.3350571393966675,0.9767499089241027,986,pre_cpm,1000
GSM3396162_HEALTHY,3293,272,3021,8.259945338597024,0.6011822819709778,0.30339232087135315,0.9767499089241027,986,pre_cpm,1000
GSM3396163_HEALTHY,3556,152,3404,4.274465691788527,0.46221381425857544,0.3200470507144928,0.9767499089241027,986,pre_cpm,1000
GSM3396164_HEALTHY,1052,31,1021,2.9467680608365017,0.5221285820007324,0.3118319809436798,0.9767499089241027,986,pre_cpm,1000
GSM3396165_HEALTHY,3136,128,3008,4.081632653061225,0.4498952627182007,0.31824398040771484,0.9767499089241027,986,pre_cpm,1000
GSM3396166_HEALTHY,3939,86,3853,2.1832952526021834,0.4422023594379425,0.2968548834323883,0.9767499089241027,986,pre_cpm,1000
GSM3396167_HEALTHY,3746,126,3620,3.363587827015483,0.5718569159507751,0.2961447238922119,0.9767499089241027,986,pre_cpm,1000
GSM3396168_HEALTHY,4283,229,4054,5.346719589073079,0.5089751482009888,0.30875375866889954,0.9767499089241027,986,pre_cpm,1000
GSM3396169_HEALTHY,4516,95,4421,2.103631532329495,0.4406905472278595,0.3031849265098572,0.9767499089241027,986,pre_cpm,1000
GSM3396170_HEALTHY,3446,278,3168,8.067324434126522,0.6028397679328918,0.3126969635486603,0.9767499089241027,986,pre_cpm,1000
GSM3396171_HEALTHY,7247,114,7133,1.5730647164343865,0.4773399233818054,0.3001585602760315,0.9767499089241027,986,pre_cpm,1000
GSM3396172_HEALTHY,4548,198,4350,4.353562005277045,0.6209535002708435,0.2892973721027374,0.9767499089241027,986,pre_cpm,1000
GSM3396173_HEALTHY,3964,208,3756,5.247225025227043,0.5266978740692139,0.314314067363739,0.9767499089241027,986,pre_cpm,1000
GSM3396174_HEALTHY,4522,109,4413,2.410437859354268,0.5712846517562866,0.2948892414569855,0.9767499089241027,986,pre_cpm,1000
GSM3396175_HEALTHY,5013,165,4848,3.291442250149611,0.5727927684783936,0.2937030792236328,0.9767499089241027,986,pre_cpm,1000
GSM3396176_HEALTHY,3383,646,2737,19.09547738693467,0.7031687498092651,0.2966994643211365,0.9767499089241027,986,pre_cpm,1000
GSM3396177_HEALTHY,1700,50,1650,2.941176470588235,0.4785076677799225,0.30142104625701904,0.9767499089241027,986,pre_cpm,1000
GSM3396178_HEALTHY,3593,65,3528,1.8090731978847758,0.5007542967796326,0.30167651176452637,0.9767499089241027,986,pre_cpm,1000
GSM3396179_HEALTHY,2437,170,2267,6.9757899056216655,0.5743717551231384,0.31826117634773254,0.9767499089241027,986,pre_cpm,1000
GSM3396180_HEALTHY,1138,15,1123,1.3181019332161688,0.577276349067688,0.28525596857070923,0.9767499089241027,986,pre_cpm,1000
GSM3396181_HEALTHY,2367,159,2208,6.7173637515842834,0.5603635907173157,0.3238723874092102,0.9767499089241027,986,pre_cpm,1000
GSM3396182_HEALTHY,4726,65,4661,1.3753702920016926,0.5763521790504456,0.29344239830970764,0.9767499089241027,986,pre_cpm,1000
GSM3396183_HEALTHY,4293,269,4024,6.266014442115071,0.5834168791770935,0.30980709195137024,0.9767499089241027,986,pre_cpm,1000
GSM3396184_HEALTHY,4118,302,3816,7.333657115104419,0.574905514717102,0.3166845738887787,0.9767499089241027,986,pre_cpm,1000
GSM3396185_HEALTHY,3643,100,3543,2.744990392533626,0.5282011032104492,0.2963540256023407,0.9767499089241027,986,pre_cpm,1000
