module,n_genes_used,n_genes_total,auc,cohens_d,t_stat,p_value,perm_p,auc_ci_lo,auc_ci_hi,rank_score,p_adj_bh
RTK_signaling,6,6,0.9166666666666667,2.805619673047742,3.073806352604984,0.026967198567718273,,,,1.6641577096487814,0.07628751410932375
GO_morphogenesis_epithelium,56,56,0.8782051282051282,2.463799253487203,2.658548689690065,0.04425053222791041,,,,1.4991676186495853,0.07628751410932375
Cell_adhesion_Ephrins,13,13,0.814102564102564,2.4687563861661936,2.625824288660004,0.04618986251825128,,,,1.4621071341725405,0.07628751410932375
WNT_pathway,7,7,0.8397435897435898,2.2484830971979033,2.3989336557046412,0.061030011287458996,,,,1.3849303893390774,0.07628751410932375
Stemness_markers,6,6,0.6923076923076923,1.6304870907803044,1.7653180544914908,0.13680401229411338,,,,1.0265382480085032,0.13680401229411338
