gene,degree_centrality,betweenness
RAD1,0.52,0.3983760683760684
MYC,0.48,0.23888888888888893
CDK7,0.12,0.13717948717948722
MCL1,0.08,0.0022222222222222222
DROSHA,0.04,0.0
ZEB2,0.04,0.0
RUVBL1,0.04,0.0
TAF10,0.04,0.0
POLD2,0.04,0.0
AHCY,0.04,0.0
GCSH,0.04,0.0
