pathway,pathway_id,n_genes,pathway_size,odds_ratio,p_value,p_adj_bh,is_signaling,genes
Natural killer cell mediated cytotoxicity - Homo sapiens (human),path:hsa04650,16,134,2.464,0.0018286485549018623,0.004558743580529994,False,"ADK, AK1, C3, CD33, CKB, CSF2, DAP, EGFR, HLA-G, ICAM1"
Various types of N-glycan biosynthesis - Homo sapiens (human),path:hsa00513,8,44,4.024,0.0018704113088490292,0.0046302489743535406,False,"AGT, B4GALT2, C11ORF1, C3, CAP2, MGAT4B, TMEM25, TUSC3"
Glycerolipid metabolism - Homo sapiens (human),path:hsa00561,10,65,3.296,0.0019982320923195994,0.004912320560285682,False,"AK1, ALDH7A1, BAD, DGAT2, GPAT4, MBOAT2, MGLL, PAM, PLPP2, PPL"
Apoptosis - Homo sapiens (human),path:hsa04210,16,137,2.403,0.00229964324868382,0.005614301448510843,False,"AK1, BAD, C3, CKB, CSF2, DAP, ENDOG, F12, F3, ID1"
Lipid and atherosclerosis - Homo sapiens (human),path:hsa05417,22,216,2.065,0.0023685880498984842,0.0057430148607127635,False,"ADK, AGT, AK1, AK4, ANK1, BAD, C3, CKB, CXCL1, CXCL2"
Inositol phosphate metabolism - Homo sapiens (human),path:hsa00562,11,78,2.977,0.002487757962866795,0.0059909273391486086,False,"ALDH6A1, C3, CPD, F12, ITPKA, MET, NDN, PI3, PIP5KL1, PPL"
Vitamin B6 metabolism - Homo sapiens (human),path:hsa00750,3,6,18.051,0.0025784447504563664,0.006167361092307796,False,"F12, PHOSPHO2, PSAT1"
Staphylococcus aureus infection - Homo sapiens (human),path:hsa05150,13,102,2.651,0.0026641506602421735,0.006329592843796842,False,"C1R, C1S, C3, CAMP, CFB, CFH, CFI, F3, GEM, ICAM1"
"Alanine, aspartate and glutamate metabolism - Homo sapiens (human)",path:hsa00250,7,37,4.223,0.0028161549869625923,0.006646125769231718,False,"ADSSL1, AGT, ASNS, ASS1, GFPT2, GOT1, MET"
Chagas disease - Homo sapiens (human),path:hsa05142,13,103,2.621,0.0029057170027352894,0.006778913704771441,False,"AK1, AK4, C3, DAP, F12, F3, ICAM1, ID1, IL6, PAM"
Alzheimer disease - Homo sapiens (human),path:hsa05010,34,391,1.739,0.0029107200088284153,0.006778913704771441,False,"AK1, ATG10, BACE2, BAD, C3, CAV1, CDA, CKB, CSF1, CTNNB1"
Pyrimidine metabolism - Homo sapiens (human),path:hsa00240,9,58,3.327,0.0031114814661933445,0.007199113980604209,False,"C3, CDA, ENPP3, IL6, LSR, MET, NME2, NME4, NME7"
Steroid biosynthesis - Homo sapiens (human),path:hsa00100,5,20,6.025,0.003195413660523742,0.007345301531333797,False,"CPD, DHCR24, DHCR7, MET, TM7SF2"
ATP-dependent chromatin remodeling - Homo sapiens (human),path:hsa03082,14,117,2.467,0.0033643393500014896,0.007683716967100176,False,"C1R, CDA, F12, F3, FRK, HIST1H2AC, HIST3H2A, ID1, MET, MRGBP"
C-type lectin receptor signaling pathway - Homo sapiens (human),path:hsa04625,13,105,2.564,0.003442497259051187,0.0078118207032315395,True,"AGT, AK1, BCL3, C3, CSF1, DAP, F12, F3, ID1, IL6"
Glutathione metabolism - Homo sapiens (human),path:hsa00480,9,59,3.26,0.003503788578022209,0.007900262144075553,False,"GGT1, GGT5, GGT7, GPX3, GPX8, GSTO2, GSTT2B, MGST1, ST5"
Salmonella infection - Homo sapiens (human),path:hsa05132,24,251,1.925,0.0035359868282617527,0.007922400868383927,False,"ACTR3B, AGT, AHNAK2, AK1, AK4, ARPC1A, C3, CKB, CTNNB1, DAP"
Neutrophil extracellular trap formation - Homo sapiens (human),path:hsa04613,20,196,2.067,0.003570848401865708,0.00795019078151233,False,"AK1, C3, CAMP, CDA, CSF1, DAP, F12, F3, GEM, HIST1H2AC"
Polycomb repressive complex - Homo sapiens (human),path:hsa03083,11,83,2.769,0.004070278490100387,0.009005491159347106,False,"C3, CKB, F12, F3, FOXK1, ID1, MET, MYC, PCGF2, PI3"
Necroptosis - Homo sapiens (human),path:hsa04217,17,159,2.175,0.004320937522192311,0.009462652444635847,False,"AGT, AK1, ARPIN, C3, CHMP4C, CKB, DAP, EIF2AK1, F12, F3"
Lysosome - Homo sapiens (human),path:hsa04142,15,133,2.308,0.004330366372968947,0.009462652444635847,False,"AP1S1, C3, CDA, DAP, HGSNAT, HYAL2, HYAL3, IDUA, LAMP3, LAPTM4B"
Vascular smooth muscle contraction - Homo sapiens (human),path:hsa04270,15,134,2.288,0.004645708955078243,0.010089453804280358,False,"AGT, C1S, C3, CALD1, CAMP, CAV1, DAP, F12, MYL6B, NPB"
Toll-like receptor signaling pathway - Homo sapiens (human),path:hsa04620,13,109,2.456,0.004757430454500122,0.010206850793291172,True,"AK1, AK4, C3, CXCL1, DAP, F12, F3, ICAM1, ID1, IL6"
Th17 cell differentiation - Homo sapiens (human),path:hsa04659,13,109,2.456,0.004757430454500122,0.010206850793291172,False,"AK1, C3, DAP, F12, F3, ID1, IL1R1, IL6, MYC, PAM"
Longevity regulating pathway - multiple species - Homo sapiens (human),path:hsa04213,9,62,3.075,0.0049171602541631726,0.010485992349239536,True,"C3, CAMP, F3, FOXA2, IGF1, MYC, PAM, PI3, SIRT1"
Insulin secretion - Homo sapiens (human),path:hsa04911,11,86,2.658,0.005350606983586803,0.011342005222692984,False,"C1R, C3, CAMP, CAV1, CNN3, CREB3L1, CREB3L4, F3, MALL, PRKCA"
Arachidonic acid metabolism - Homo sapiens (human),path:hsa00590,9,63,3.018,0.0054753044562343076,0.011537248675636576,False,"ALOX15B, C3, F3, GGT1, GGT5, MGST1, PLA2G12A, PPL, PTGES"
Apoptosis - multiple species - Homo sapiens (human),path:hsa04215,6,32,4.173,0.005847408483864765,0.01217636825463604,False,"AK1, BOK, C3, F12, F3, PI3"
Galactose metabolism - Homo sapiens (human),path:hsa00052,6,32,4.173,0.005847408483864765,0.01217636825463604,False,"AK1, B4GALT2, C3, F3, PFKM, PFKP"
Diabetic cardiomyopathy - Homo sapiens (human),path:hsa05415,20,205,1.965,0.005894566789099261,0.012202787387959874,False,"AGT, C3, CDA, DAP, F12, F3, FASN, GFPT2, ID1, KCTD14"
GnRH secretion - Homo sapiens (human),path:hsa04929,9,65,2.91,0.006737363748326695,0.013866434691323546,False,"C3, CAV1, CNN3, DAP, KISS1, MALL, MET, PI3, PRKCA"
Base excision repair - Homo sapiens (human),path:hsa03410,7,44,3.422,0.007621846393293409,0.015506515076010727,False,"C3, F3, ID1, MET, NTHL1, PARP3, POLD2"
Basal transcription factors - Homo sapiens (human),path:hsa03022,7,44,3.422,0.007621846393293409,0.015506515076010727,False,"AK1, C3, CDK7, F12, F3, MALL, TAF10"
Sphingolipid metabolism - Homo sapiens (human),path:hsa00600,8,55,3.08,0.007729678769240643,0.015636035910349642,False,"ASS1, C3, CDA, CERS2, F3, PLPP2, SGPP2, SMPD1"
Circadian rhythm - Homo sapiens (human),path:hsa04710,6,34,3.874,0.00793792707907472,0.015966057874957106,False,"CAMP, F3, ROR1, RORC, ST5, THRA"
Motor proteins - Homo sapiens (human),path:hsa04814,19,197,1.939,0.00806120708530043,0.01612241417060086,False,"C1S, C3, CDA, DAP, DNAH14, DNAH5, DNALI1, F12, F3, ID1"
B cell receptor signaling pathway - Homo sapiens (human),path:hsa04662,11,91,2.491,0.008169501266219242,0.01623887217679411,True,"ANK1, C3, DAP, EGFR, F3, ID1, IFITM1, MALL, PI3, PPL"
Long-term potentiation - Homo sapiens (human),path:hsa04720,9,67,2.809,0.008211181128943913,0.01623887217679411,False,"C3, CAMP, CAV1, DAP, F3, ID1, MET, PRKCA, RPS6KA2"
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human),path:hsa00980,10,79,2.625,0.008315893340166684,0.016264233383530422,False,"C3, CPD, CYP1B1, EPHX1, GSTO2, GSTT2B, HSD11B1L, MET, MGST1, ST5"
Leishmaniasis - Homo sapiens (human),path:hsa05140,10,79,2.625,0.008315893340166684,0.016264233383530422,False,"AK1, AK4, C3, DAP, EEF1A2, F3, ID1, MARCKSL1, PAM, TGFB2"
Osteoclast differentiation - Homo sapiens (human),path:hsa04380,15,143,2.126,0.0084072035574394,0.01635247285348103,False,"AK1, C3, CAMP, CISH, CSF1, DAP, EGFR, F12, F3, FOSL1"
Relaxin signaling pathway - Homo sapiens (human),path:hsa04926,14,130,2.189,0.008550835442288626,0.01654096036377144,True,"C3, CAMP, CREB3L1, CREB3L4, DAP, EGFR, F12, F3, ID1, MET"
N-Glycan biosynthesis - Homo sapiens (human),path:hsa00510,8,56,3.016,0.008612808476822768,0.016570294569539457,False,"AGT, B4GALT2, C11ORF1, C3, CAP2, MGAT4B, TMEM25, TUSC3"
Spinocerebellar ataxia - Homo sapiens (human),path:hsa05017,15,144,2.11,0.008942841734297886,0.01711224850779163,False,"ATG10, C3, CAV2, DAP, F12, F3, MET, MYC, PAM, PI3"
NF-kappa B signaling pathway - Homo sapiens (human),path:hsa04064,12,105,2.339,0.0091241990902067,0.017346482813344857,True,"AK1, AK4, C3, CKB, CXCL1, CXCL2, DAP, F3, ICAM1, ID1"
Fructose and mannose metabolism - Homo sapiens (human),path:hsa00051,6,35,3.741,0.00916325504546748,0.017346482813344857,False,"AK1, ALDOC, PFKM, PFKP, PMM1, TST"
Human immunodeficiency virus 1 infection - Homo sapiens (human),path:hsa05170,20,214,1.873,0.00933494929581153,0.017577510908070648,False,"ADK, AK1, AK4, AP1S1, BAD, C3, CDA, CKB, DAP, F12"
Fc epsilon RI signaling pathway - Homo sapiens (human),path:hsa04664,9,69,2.715,0.009917946388043237,0.018576471012525426,True,"C3, CSF2, DAP, EGFR, F12, MALL, PI3, PRKCA, RAC3"
Virion - Lassa virus and SFTS virus - Homo sapiens (human),path:hsa03273,4,17,5.557,0.010468825602885258,0.01950507507063885,False,"AGRN, CDH1, CDH11, PCDH7"
Peroxisome - Homo sapiens (human),path:hsa04146,10,83,2.481,0.01164150835275536,0.02157640815118009,False,"AGT, C3, DAP, DECR2, MET, MLPH, NUDT13, PEX11A, PEX6, PXMP2"
Hormone signaling - Homo sapiens (human),path:hsa04081,20,219,1.826,0.011853701058463045,0.02185526132654124,True,"AGT, BMPR1B, C1R, C3, CAMP, CAP2, CKB, DAP, F3, IGF1"
T cell receptor signaling pathway - Homo sapiens (human),path:hsa04660,13,122,2.162,0.011998793300082489,0.021912480382048904,True,"AK1, AK4, C3, CKB, CSF2, DAP, EGFR, F12, F3, ID1"
Biosynthesis of nucleotide sugars - Homo sapiens (human),path:hsa01250,6,37,3.499,0.012008534446659568,0.021912480382048904,False,"C3, F3, GFPT2, PMM1, TST, UGDH"
Prion disease - Homo sapiens (human),path:hsa05020,24,278,1.718,0.012110895263082223,0.02198593293913388,False,"BAD, C3, CAMP, CAV1, CAV2, CDA, CKB, CREB3L1, CREB3L4, DAP"
Butanoate metabolism - Homo sapiens (human),path:hsa00650,5,27,4.106,0.012269987554532047,0.022161099970940533,False,"BDH1, CSF1, F12, MET, OXCT1"
Huntington disease - Homo sapiens (human),path:hsa05016,26,311,1.659,0.013660747195300808,0.024547738614906018,False,"AMPH, AP2B1, ATG10, C3, CAMP, CAV2, CDA, CREB3L1, CREB3L4, DAP"
Drug metabolism - cytochrome P450 - Homo sapiens (human),path:hsa00982,9,73,2.545,0.01411572455230754,0.025237204502610452,False,"C3, CPD, FMO5, GSTO2, GSTT2B, MAOA, MET, MGST1, ST5"
Measles - Homo sapiens (human),path:hsa05162,14,139,2.03,0.014884591799343806,0.02647811807521461,False,"AK1, AK4, BAD, C3, CCND1, CKB, DAP, EIF2AK1, F12, F3"
Intestinal immune network for IgA production - Homo sapiens (human),path:hsa04672,7,50,2.944,0.015146286113115005,0.02680892642021356,False,"CCL28, CDA, CKB, CXCL1, F3, ID1, IL6"
One carbon pool by folate - Homo sapiens (human),path:hsa00670,6,39,3.286,0.015423856647174924,0.027164404244278222,False,"AHCY, ALDH7A1, GARS, GCSH, MET, SDC1"
Viral protein interaction with cytokine and cytokine receptor - Homo sapiens (human),path:hsa04061,11,100,2.238,0.015997478411753998,0.028035184939410474,True,"C3, CCL28, CKB, CSF1, CX3CL1, CXCL1, CXCL2, F3, IL6, KDR"
Vibrio cholerae infection - Homo sapiens (human),path:hsa05110,7,51,2.877,0.016782672656532806,0.02926633556853504,False,"C3, CAMP, F3, ID1, KDELR3, PRKCA, TJP1"
Biosynthesis of various nucleotide sugars - Homo sapiens (human),path:hsa00541,4,20,4.514,0.01880607618643928,0.03263407338235051,False,"C3, PPL, TST, UGDH"
Glutamatergic synapse - Homo sapiens (human),path:hsa04724,12,116,2.09,0.01909529746027902,0.03297431854116475,False,"ANK1, ANK3, C3, CAMP, CAV1, CAV2, CPD, CTTN, DAP, HOMER3"
Bile secretion - Homo sapiens (human),path:hsa04976,10,90,2.263,0.01975182987090431,0.03394246492378702,False,"AGT, C3, CAMP, CD33, EPHX1, MALL, MET, SLC27A5, SLC4A2, SLC4A4"
beta-Alanine metabolism - Homo sapiens (human),path:hsa00410,5,31,3.474,0.021732333546018882,0.036986759977359056,False,"ALDH6A1, ALDH7A1, BAD, C3, MET"
Protein export - Homo sapiens (human),path:hsa03060,5,31,3.474,0.021732333546018882,0.036986759977359056,False,"ARSE, C3, ID1, IMMP2L, MALL"
Pantothenate and CoA biosynthesis - Homo sapiens (human),path:hsa00770,4,21,4.248,0.02228642274152591,0.03753592794287989,False,"ANK1, ANK3, BCAM, ENPP3"
Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate - Homo sapiens (human),path:hsa00532,4,21,4.248,0.02228642274152591,0.03753592794287989,False,"CHPF, CHST3, DSEL, ST7"
Ubiquinone and other terpenoid-quinone biosynthesis - Homo sapiens (human),path:hsa00130,3,12,6.015,0.022373109593072475,0.03753592794287989,False,"MET, NQO1, ST5"
Synaptic vesicle cycle - Homo sapiens (human),path:hsa04721,9,79,2.326,0.022687653055709682,0.037884099913779376,False,"AP2B1, C3, CAV2, CPLX1, DAP, F3, PAM, STXBP1, SYT1"
Thermogenesis - Homo sapiens (human),path:hsa04714,20,235,1.688,0.02369551444600693,0.039381277529983355,False,"C3, CAMP, CD33, CDA, CREB3L1, CREB3L4, DAP, EGFR, F3, FASN"
Glycolysis / Gluconeogenesis - Homo sapiens (human),path:hsa00010,8,67,2.452,0.023917375809571668,0.03956425718031949,False,"ALDH7A1, ALDOC, BAD, C3, F3, MET, PFKM, PFKP"
GnRH signaling pathway - Homo sapiens (human),path:hsa04912,10,93,2.18,0.024265088789711665,0.03995275084445549,True,"ADK, C3, CAMP, CAV1, DAP, EGFR, F12, MET, MT1M, PRKCA"
Glucagon signaling pathway - Homo sapiens (human),path:hsa04922,11,107,2.074,0.02520595189429994,0.04130975449343601,True,"ACACA, C3, CAMP, CREB3L1, CREB3L4, F3, MET, PFKM, PFKP, PYGB"
Cytokine-cytokine receptor interaction - Homo sapiens (human),path:hsa04060,24,298,1.591,0.02575554544401973,0.042015958927110526,True,"AK1, ASS1, BMP2, BMPR1B, C3, CCL28, CKB, CSF1, CSF2, CSF3"
Histidine metabolism - Homo sapiens (human),path:hsa00340,4,22,4.012,0.026133740871220706,0.04243735902941344,False,"ALDH7A1, BAD, MAOA, MET"
Hedgehog signaling pathway - Homo sapiens (human),path:hsa04340,7,56,2.583,0.026859327838657826,0.04341644773920032,True,"C3, CAMP, CCND1, F3, IQCE, RAD1, SMURF1"
2-Oxocarboxylic acid metabolism - Homo sapiens (human),path:hsa01210,5,33,3.225,0.027859521406817755,0.04482850262733402,False,"AGT, BCAM, DHTKD1, GOT1, MET"
Amphetamine addiction - Homo sapiens (human),path:hsa05031,8,69,2.372,0.027998055561675634,0.04484756411236731,False,"CAMP, CAV1, CREB3L1, CREB3L4, MAOA, PAM, PRKCA, SIRT1"
Fatty acid metabolism - Homo sapiens (human),path:hsa01212,7,57,2.531,0.029279938990948884,0.0466896324450266,False,"ACACA, CSF3, ELOVL6, F3, FASN, MECR, MET"
