sample,AML_TCGA-AB-2872-03,AML_TCGA-AB-2812-03,AML_TCGA-AB-2919-03,AML_TCGA-AB-2921-03,AML_TCGA-AB-2836-03,AML_TCGA-AB-2983-03,AML_TCGA-AB-2843-03,AML_TCGA-AB-2978-03,AML_TCGA-AB-2909-03,AML_TCGA-AB-2882-03,AML_TCGA-AB-2845-03,AML_TCGA-AB-2877-03,AML_TCGA-AB-3012-03,AML_TCGA-AB-2865-03,AML_TCGA-AB-2851-03,AML_TCGA-AB-2930-03,AML_TCGA-AB-2887-03,AML_TCGA-AB-2991-03,AML_TCGA-AB-2826-03,AML_TCGA-AB-2946-03,AML_TCGA-AB-2969-03,AML_TCGA-AB-2817-03,AML_TCGA-AB-2862-03,AML_TCGA-AB-2885-03,AML_TCGA-AB-2821-03,AML_TCGA-AB-2965-03,AML_TCGA-AB-2819-03,AML_TCGA-AB-2891-03,AML_TCGA-AB-2914-03,AML_TCGA-AB-2880-03,AML_TCGA-AB-2944-03,AML_TCGA-AB-2867-03,AML_TCGA-AB-2932-03,AML_TCGA-AB-2837-03,AML_TCGA-AB-2948-03,AML_TCGA-AB-2890-03,AML_TCGA-AB-3005-03,AML_TCGA-AB-2879-03,AML_TCGA-AB-2984-03,AML_TCGA-AB-2910-03,AML_TCGA-AB-2858-03,AML_TCGA-AB-2967-03,AML_TCGA-AB-2868-03,AML_TCGA-AB-2929-03,AML_TCGA-AB-2886-03,AML_TCGA-AB-2814-03,AML_TCGA-AB-2863-03,AML_TCGA-AB-2963-03,AML_TCGA-AB-2860-03,AML_TCGA-AB-2975-03,AML_TCGA-AB-2993-03,AML_TCGA-AB-2966-03,AML_TCGA-AB-2874-03,AML_TCGA-AB-2933-03,AML_TCGA-AB-2959-03,AML_TCGA-AB-2972-03,AML_TCGA-AB-2987-03,AML_TCGA-AB-2973-03,AML_TCGA-AB-2931-03,AML_TCGA-AB-2897-03,AML_TCGA-AB-2822-03,AML_TCGA-AB-2998-03,AML_TCGA-AB-2840-03,AML_TCGA-AB-2924-03,AML_TCGA-AB-3006-03,AML_TCGA-AB-2810-03,AML_TCGA-AB-2842-03,AML_TCGA-AB-2889-03,AML_TCGA-AB-2908-03,AML_TCGA-AB-2841-03,AML_TCGA-AB-2964-03,AML_TCGA-AB-2943-03,AML_TCGA-AB-2920-03,AML_TCGA-AB-2994-03,AML_TCGA-AB-2980-03,AML_TCGA-AB-2849-03,AML_TCGA-AB-2834-03,AML_TCGA-AB-2928-03,AML_TCGA-AB-2937-03,AML_TCGA-AB-2816-03,AML_TCGA-AB-2976-03,AML_TCGA-AB-2977-03,AML_TCGA-AB-2869-03,AML_TCGA-AB-2838-03,AML_TCGA-AB-2830-03,AML_TCGA-AB-2884-03,AML_TCGA-AB-3001-03,AML_TCGA-AB-2955-03,AML_TCGA-AB-3011-03,AML_TCGA-AB-2820-03,AML_TCGA-AB-2942-03,AML_TCGA-AB-2854-03,AML_TCGA-AB-2949-03,AML_TCGA-AB-2992-03,AML_TCGA-AB-2950-03,AML_TCGA-AB-2927-03,AML_TCGA-AB-2925-03,AML_TCGA-AB-2833-03,AML_TCGA-AB-2844-03,AML_TCGA-AB-2873-03
ATG10,3.0301418223870953,3.012121672712217,3.095198671558092,3.012139555403256,2.8479568311360977,3.130601449790564,3.0258261328008658,3.024337411326372,2.9732438971011663,2.8745805945895757,3.041120298865943,3.0516331206357483,3.0944725578457852,3.0559244546294897,2.8928767000606896,3.054153871762708,3.056375432343569,3.036591246663112,3.0283392927646933,3.1161817464054877,2.9177372573983695,3.0237343965729258,3.010081591563253,3.0140338647134834,3.0400682989839636,3.063313101521505,3.130930869826449,2.92778270193506,3.1660887486628884,3.0570516347006254,2.9901561666273913,3.12460936694373,2.9673899759765403,3.0133729260785,3.0407346546399387,3.118509237498171,2.9817978663618474,3.0824811956259595,3.137733025160221,3.033105794017349,2.930983284276635,3.063951557609584,2.800786032499829,2.9386998132393365,2.9422892865836188,2.9537494711181096,2.961586288144171,2.973941836128054,2.823056374247589,3.065089724186249,3.1456122471664756,2.9787630757657864,2.9842794520690274,3.037961995093629,3.0547616696282907,3.022651885005722,2.8292203995217458,2.916457535767581,3.1548262083699496,3.0266230306864115,3.024089141657735,3.1103966541602226,2.97592361080838,2.8899796625295955,3.0878701329410574,3.0014599897337604,3.106566081002098,2.9601039020897435,2.9582116481096903,2.9824551722198542,3.0280032784727524,2.7856760889929038,2.5723318801698474,2.9941814347265936,3.0511632525821146,3.200645590282008,3.0272425359737407,2.960715570913498,3.049386813155729,2.9728396727591955,3.0990426685187877,3.0963630675884,3.051006595884693,2.539258089931398,3.0422415871926756,3.008612378900845,2.93181540833194,3.170694233687083,3.0319773798734553,2.8006203911160377,3.0692553362327573,2.936553141373437,3.05604588557492,2.9924058990316507,3.1609847079834834,3.0761999158120457,3.0353951716530583,2.9925509226587215,3.035764653600975,3.075070484009306
NPDC1,3.0681204525292407,3.1489666339237745,3.680943165044016,3.410626033171342,3.0999347639739305,3.0406294610485385,2.9530975823352095,3.299112751569386,3.001874285531351,3.463779376712196,3.038910212413645,3.6331172941257623,3.0793269054170063,3.6103575349325157,2.993275822202105,3.2256759655607654,3.6145213981702726,3.513654965974452,2.540572889777661,2.9549779462429595,2.6402044389510584,3.6120221628080618,3.3819754785573015,3.6144271659663927,3.5694910919587164,2.656885308061423,2.627770240935268,3.443924857933742,3.123964106385427,2.9111354859242327,3.6729796829638013,2.693252761905285,2.9700989863721343,3.174214643040503,3.1458893609377587,3.4538994379054024,2.9518115667627076,3.661418982314477,3.386617838610289,3.2052204554031136,3.1438341929796763,2.644456226112828,3.4425056460902383,3.654355337970567,2.438133134800466,3.392935588198868,3.551651360067912,2.843421123439057,3.376220914453403,3.2385728847096416,3.115366236609782,3.280510968854256,3.5059925243950385,2.9661720289785762,3.4407529169959767,3.2996696069501317,2.760306121519131,2.859055154210492,3.447169206618429,2.971552750383873,3.492891462991958,2.8892788337055366,2.91804269472788,3.0030984646806527,3.521352314097662,3.3032839372640854,2.267835392097615,3.1217614296124236,3.696961964025817,3.0772600923743347,2.96266006637552,3.414149066645559,3.8173572041081427,3.3962280044979,3.3551995504216263,3.4617904629030036,2.658280044847325,3.7747238167885695,3.118725171268244,2.981505634269617,3.0797535640745375,3.714926858410005,3.3764709867811353,3.4600479112289064,3.425069842706162,3.3123602239011594,3.0399630567924842,2.872040724534607,3.4243712335559815,3.6723913958064593,3.2465449011527614,2.8633239851608505,3.554932601880473,3.414785005552843,2.9582116481096903,3.4969863594628614,2.909542715281219,2.7101286554591417,3.325674234120257,2.9393394308141345
CPLX1,1.6182856481539152,1.2988342432570557,1.3415303869973,0.6457016585788348,0.0,1.5220055151721752,1.637192886958848,1.9581002617232472,0.0,2.2737247445999804,1.6255510510793123,0.9698227896729081,2.0281093967040995,0.0,0.0,0.0,1.5716768099709313,2.058801353616186,0.9851360673680097,1.6604266749836685,1.2248429205712703,0.9937830352500068,1.3704433048213018,0.9389255930004934,1.8348325475436542,0.0,2.1723594978481406,2.081748651234168,0.0,0.0,0.0,0.0,1.5679347864778164,1.2349304477791854,1.7631990853259616,2.074402676647009,0.988775562337746,1.4662877760097646,0.0,0.7261336731818974,0.0,1.4495877852646888,1.9834588115903236,1.551688269438963,0.8060352832362193,1.2462864639921492,1.147111286669799,0.0,1.3633953854402754,0.0,1.5405728897776612,0.0,1.3087103511680773,2.4004832810092838,1.0436944612259778,1.530370439980735,0.9698227896729081,1.6938103079749118,0.0,1.7915640518022569,0.0,0.0,0.0,0.0,1.5946440891047673,1.5166707684832,0.0,0.8193411900587708,2.1621133376956245,0.0,1.594930669812392,1.7366048753142485,1.6846841096506515,0.9683488469201721,1.2880041206946484,1.3393654609679444,1.623117701747125,0.0,1.6242412960725239,0.0,0.0,1.875150958058677,0.0,1.7925222241405185,1.722466024471091,0.0,1.8182370397120904,0.0,1.6259250484996541,1.4021764249794826,1.534659280413878,1.4883093357033632,2.4494293141031993,2.352956218333031,1.8090439471552644,2.688113202871534,1.7926055134076888,0.0,1.4059923596758368,1.8793136763108873
ATOH8,2.5192902790365257,0.9316830570598058,0.7712094868664678,0.6457016585788348,1.562132500411283,1.9446335926952742,2.3854034255409506,2.5853471681120204,1.1517938874963232,1.950767000593138,2.2438518432550816,1.9733173802693627,1.6960383400474783,1.9058129809517657,0.0,0.6973290237937195,0.8413290945692327,2.058801353616186,1.7176490081733153,1.8925076026207426,1.937043014451019,1.3637317825444475,2.000252449543465,1.3064372426645094,2.6124940481492946,1.252536766696175,1.3897870537356576,2.1232357734749296,0.0,1.7392864653816331,2.180084192717328,2.2770325518747936,0.7317046033947345,1.8828777738660016,2.483312761255525,1.9608823446851962,2.22391675051899,2.0117103096277336,1.718789028019984,2.170469916646922,0.8787645712673544,2.1249566954353756,1.9214744162339183,2.0838941256243064,1.649569476018548,0.8824474164317309,2.2911320120087533,1.3177671385122198,2.6049964399312873,1.965063911477565,0.0,0.0,2.148803979601484,2.121744855388424,1.0436944612259778,1.3140584088582605,2.172519518150765,1.4832095568030246,0.7179121696444287,2.1630156061832966,0.0,2.1459708548592342,2.0110304091828977,1.1325110397991955,2.0395595572557057,2.054431753988422,2.346730010403616,2.2737844118749337,1.6045458163687107,2.012425648317959,1.594930669812392,1.6441793172749548,0.8394759214937555,2.323283591242274,2.0910566126274777,1.3393654609679444,2.3504123801738532,1.1326426425396185,1.6242412960725239,0.0,1.4976379111211164,1.9926596808129027,0.8887724677424417,1.7925222241405185,2.196481148982308,2.366867712137269,1.9058129809517657,1.5715797372323068,2.094810330613972,1.4021764249794826,2.5170740798157043,2.7164641871524235,1.801572569463598,2.7052038346508667,2.0006130151358863,2.3510063437338515,1.913684096122984,2.539208451373697,2.2367681200396574,2.5707543551338676
IRX2,1.4046306842176117,0.0,0.0,0.0,0.0,0.9380222618731112,2.532042609213089,1.6859849867559025,1.1517938874963232,1.3953918939282104,1.1377002414796067,0.0,1.967279296000456,0.0,0.8690817536999312,0.0,0.8413290945692327,0.0,0.0,0.0,0.0,2.106515831266251,1.0002885101581236,0.0,1.481453950595318,0.0,2.2477148900859802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3242921767367393,0.0,0.8847932625435265,0.0,0.0,0.0,0.0,0.0,0.0,3.1717352490203314,2.0096338193972687,0.0,0.0,0.0,0.0,0.9561310162195837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.235604532763299,0.0,0.0,0.0,0.0,0.0,1.2880041206946484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8558302746837658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6385836152316622,2.7888944791604415,1.3459640303428717,1.235604532763299,0.0,1.1349437493428218,0.0,0.8289564764176633,1.5302205988851105
EFHC1,3.4383993196092226,3.298628992196576,3.466927242471643,3.3172027519504197,3.227818075014066,3.3445160685748405,3.1848198154326353,3.2241174711594307,3.3208601053522226,3.342014202471482,3.3725342685781494,3.4821512852807768,3.3778178530836453,3.175476696751418,3.259799746567113,3.374524836290661,3.349464360389547,3.36230155281899,3.1462967845192344,3.3890298310531066,3.067070750410539,3.2765264423204927,3.3158415275320516,3.2155388239022735,3.31398587772355,3.2352522094468443,3.191388935717159,3.198541299765487,3.1811025507537978,3.293208606034655,3.2571162510049354,3.277538483943867,3.3038391852737123,3.2082363095743656,3.299010149498923,3.2673560117838876,3.3284918303048476,3.4825514548074414,3.1683371634262305,3.2488687546775816,3.2870880769080717,3.207236932084279,3.192131026263186,3.1638851167089417,3.3816709927984454,3.3234709532989863,3.2688685141840286,3.2311097936327986,3.015604611455119,3.415326009436967,3.4457002219204385,3.2987756030765416,3.3597882073430716,3.239229992331713,3.3254008069966123,3.389429143453934,2.866314561377047,3.1877202475248185,3.436774827804325,3.3875141923209076,3.4389581478975493,3.3168263715442805,3.3479774034699705,3.3874866205093275,3.3514445886064057,3.275871213347637,3.235803633975753,3.3296833394986107,3.2282953781946846,3.373829145820768,3.1890812806832036,3.2818910910458046,3.2673110617117276,3.43080711835091,3.377012661500196,3.3411603009505457,3.1271049651394005,3.3745804770385206,3.114933329857735,3.179925009320659,3.3059267580848175,3.3016608037260387,3.369089532947674,3.217106608083392,3.3839116109963197,3.3211632638175494,3.376998774945079,3.419120853886086,3.4611749144065422,3.2119155424918215,3.3559465532779846,3.3235430091498888,3.291073057917623,3.262598525867507,3.381449508239824,3.381103370530955,3.2674908535979172,3.0070519425164903,3.370415404821477,3.0384888594324773
CDK7,3.1082902611841288,3.261621074883336,3.1523781454010398,3.215181565453315,3.1296951566537796,3.185644575153055,3.136847604192881,3.2620121347493973,3.100405837085972,3.131869304470773,3.2397646265109468,3.20618996652279,3.1900142706854395,3.131540098668601,3.131787010062541,3.171607164585539,3.130041263044946,3.181563757689206,3.2271249344499258,3.1956783092777465,3.154113294284407,3.1472089960336023,3.16080727158339,3.167454275481227,3.154080880726678,3.2347312260166117,3.2499762037241635,3.1545832090530683,3.2008652645469025,3.1489503693167396,3.18254929202166,3.203545732871533,3.086681877301254,3.1280128863695293,3.1243446795752363,3.1329715968792087,3.1449273848567247,3.199028386209857,3.272918994765638,3.1773118924781167,3.1725195181507644,3.207236932084279,3.0326122214266706,3.173479267415064,3.1545832090530683,3.205924197652587,3.231831736387056,3.2627187817709586,3.2109498726992696,3.23509899855497,3.175173265663797,3.2546847376911905,3.169235549096042,3.16512406861164,3.089515099694442,3.313608657030487,3.11623166060415,3.1937559761516034,3.234593287140499,3.1436383099220366,3.2613803699603157,3.1430831634497816,3.2274176344202505,3.1688826785842044,3.2235461159528183,3.246970461464149,3.271590016830226,3.140860438897859,3.033581579146999,3.0523637224614006,3.242175655032497,3.0148551501991974,2.9888119109612443,3.142593150864102,3.2307563708011497,3.1782365846048055,3.1927149567910744,3.131885762789125,3.0756353104343943,3.0578834488996267,3.2141714434473077,3.204015477399888,3.2105447219555083,2.9974550065555636,3.1927622921527052,3.1736231747524735,3.1622583831932474,3.1999863667216744,3.1770088471683944,3.103245838491267,3.207377511381919,3.1342373712734486,3.2214595204827794,3.1434424002646084,3.241901184179503,3.0774139242381384,3.1940555243452176,3.157625846286008,3.194276204275421,3.1400423990478123
RHBDL1,2.775240218646644,2.381504882567306,2.891671927988425,2.3050366244168305,1.908198046490716,1.9446335926952742,2.485091876941808,2.0191681430702797,2.1271379904696883,2.541118304024694,2.2645664555573743,2.694300770342678,2.525743166662315,2.4918274481898526,2.269781238274379,2.4839576218704438,2.3660004136466894,2.7821359369089214,2.0992615354492012,2.378150904401772,1.442598534416632,2.4612928057276204,2.6521881732531276,2.183772325560338,2.6281436635799835,1.252536766696175,2.199373960721821,2.7507565544659283,1.0295588974491168,2.145677455195635,2.775703768977776,2.2770325518747936,2.612611995371814,2.1274021658996447,2.1175953137592076,2.230664159299991,2.5303704399807345,2.5074140990154405,2.726002846154749,2.674279851379448,2.5645001156545146,2.1750774320601605,2.30445263192145,2.7886021947351414,2.5651584518769965,1.8929349699727516,1.6346861926698646,1.1001703197569768,0.7905218378369391,1.879431314491583,2.2885062204549724,2.71538822906501,2.6396026312595016,1.5970782124871021,2.1475672070946326,2.4275793566397246,1.7027018651383803,1.4832095568030246,1.552180304176821,2.7063316226174243,2.4082499073098194,2.358649442847592,2.49021069545115,2.2398868007957202,1.8743641908248632,2.6946796498210865,2.017102366971224,2.1157990134992906,2.741984645757267,2.6341982737065686,1.741617989568016,2.3340533441555205,3.0698224434800325,2.4894915566990794,1.9912451849018493,2.3700805627316877,2.1433281073443053,2.7144213783426743,2.0933911532530134,1.9820717801981267,1.6476368634845486,3.0398051791090364,2.3292671408955243,1.930661653214905,2.131326074606591,2.3152763870149324,2.351486992336479,1.9167441392478708,3.055369211540486,1.956614287557227,2.256346463453673,2.342270274404548,2.289303314024345,2.4952090664547457,2.520749096650175,2.6077682346963615,2.406455036716412,2.1562671630518033,2.051058816673939,2.5707543551338676
NOVA1,0.0,0.0,0.0,0.0,0.0,0.0,1.8903688648198833,3.1603393800782484,0.0,2.080828184596046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9937830352500068,0.0,0.0,1.264116021559245,0.888304895208487,0.0,0.0,0.0,0.0,0.8569458632824328,0.0,0.0,0.0,2.432237879358647,0.0,0.0,0.0,0.0,0.7261336731818974,0.0,0.0,2.3858727517795084,0.0,0.0,0.0,0.0,0.0,0.7905218378369391,0.0,0.0,0.0,0.0,3.0119964876680254,0.0,0.0,0.0,0.0,0.0,1.0628815522667368,0.0,0.0,1.94012915533393,0.0,0.0,0.0,0.0,0.0,1.6045458163687107,0.0,0.0,0.8009930574891905,0.0,0.0,0.9215125006561553,1.703145007739508,0.0,1.504061001309293,0.0,0.0,0.0,0.0,0.0,0.8558302746837658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6385836152316622,2.501464622992021,1.3459640303428717,0.0,3.3285779965044706,0.0,0.0,0.0,0.0
PEX6,3.4772887577265648,3.3294537275311282,3.4661441833491433,3.4263855334171804,3.3806878956286224,3.3264510599709682,3.45617532497867,3.3296259399326367,3.339479485472322,3.3391944073120707,3.353224473049848,3.3722417160265974,3.4025721156617865,3.337197281340801,3.295340997680177,3.432545240922836,3.345864706848355,3.3771931745543404,3.0334934826269464,3.355382813341191,3.2896279296319495,3.3490538302144643,3.4573053562174323,3.405202744456009,3.3513597774070814,3.298321060843775,3.4134045266894724,3.271948513472073,3.150917056754209,3.293208606034655,3.4134722280199066,3.334782776230159,3.448610269015912,3.2300953914358197,3.480833814450416,3.2456021420756507,3.516065590004348,3.486611411637503,3.312461880949154,3.4279145225964336,3.4554258627469694,3.3906264179488326,3.3284918303048476,3.231463129906232,3.4261171225398606,3.301719326753454,3.3066268052266925,3.2958258606434727,3.4090786012866823,3.3911765557252687,3.3459214639682404,3.356439645085615,3.315711130137369,3.3346826799357214,3.261816618066552,3.405692901326258,3.3185771537960793,3.194748976202562,3.3046716568108,3.3777206986312103,3.362582101793289,3.3244938092511926,3.3313612672682993,3.3719909094706635,3.497280232914031,3.4522264117974455,3.1411548197311294,3.2992300021442165,3.3972690385347692,3.390915266438499,3.3318914880999273,3.3916302615174296,3.597137820841518,3.4123344237994546,3.3365690417691156,3.2365385389780355,3.2554705193233002,3.33746848205966,3.4667837134467225,3.129447886957247,3.319675733324421,3.50201228760469,3.385168705155178,3.3253864146597736,3.4802263394084334,3.327644255114428,3.2601461265089675,3.259965416915083,3.444759816113282,3.334696979831556,3.4223541173840784,3.2984237119310382,3.3033131661717903,3.361698187720368,3.364558425479892,3.318287914828634,3.499629068000744,3.302874670365585,3.393773123113913,3.383510768303782
