sample,threshold,cells,merged_duplicates,matched_genes,total_training_genes,persister_count,non_persister_count,persister_pct,non_persister_pct,mean_prob,std_prob
GSM3516666_NORMAL,0.3099900007247925,3061,232,13369,13369,286,2775,9.343351845802026,90.65664815419797,0.09805221110582352,0.17866115272045135
GSM3516665_PRIMARY,0.3099900007247925,3435,352,13369,13369,609,2826,17.729257641921397,82.2707423580786,0.1667175143957138,0.20565159618854523
GSM3516667_PRIMARY,0.3099900007247925,4014,203,13369,13369,437,3577,10.88689586447434,89.11310413552566,0.11599651724100113,0.16876889765262604
GSM3516664_METASTASIS,0.3099900007247925,1316,230,13369,13369,814,502,61.85410334346505,38.14589665653496,0.5966644883155823,0.41465839743614197
GSM3516668_METASTASIS,0.3099900007247925,3886,137,13369,13369,2933,953,75.47606793618117,24.523932063818837,0.592167854309082,0.3045501708984375
FH_5897_2,0.3099900007247925,9495,3141,13353,13369,5563,3932,58.58873091100579,41.41126908899421,0.5430071949958801,0.40256091952323914
FH_6333_2,0.3099900007247925,2451,3503,13276,13369,1575,876,64.2594859241126,35.74051407588739,0.5869371891021729,0.4039209485054016
FH_5143_2,0.3099900007247925,8116,4200,13369,13369,7545,571,92.96451453918186,7.035485460818138,0.8936452865600586,0.24191351234912872
FH_6088_3,0.3099900007247925,6801,4200,13369,13369,6187,614,90.97191589472136,9.028084105278635,0.8593381643295288,0.2686717212200165
FH_6088_2,0.3099900007247925,7373,4200,13369,13369,6850,523,92.90655092906552,7.093449070934491,0.8987424969673157,0.24113401770591736
AGG_AML_deep_NVS-IC_Batch1-2,0.3099900007247925,20000,4200,13369,13369,18132,1868,90.66,9.34,0.8649212121963501,0.27226442098617554
FH_5238_2,0.3099900007247925,5053,4200,13369,13369,4343,710,85.94894122303583,14.05105877696418,0.8172390460968018,0.3203517198562622
FH_6333_3,0.3099900007247925,2815,4200,13369,13369,1876,939,66.64298401420959,33.357015985790404,0.6618901491165161,0.41450217366218567
GSM3396161_HEALTHY,0.3099900007247925,2994,3503,13276,13369,1182,1812,39.478957915831664,60.52104208416834,0.3598731458187103,0.3514811396598816
GSM3396162_HEALTHY,0.3099900007247925,3293,3503,13276,13369,1286,2007,39.05253568174917,60.94746431825083,0.344432532787323,0.3231263756752014
