sample,cells,persister_count,non_persister_count,persister_pct,mean_prob,std_prob,threshold_used,coverage,mask_stage,kept_genes
FH_5238_2,5053,169,4884,3.344547793390065,0.6027212738990784,0.26591071486473083,0.934520959854126,995,pre_cpm,30
FH_6333_3,2815,143,2672,5.079928952042629,0.7100898027420044,0.22043725848197937,0.934520959854126,995,pre_cpm,30
AGG_AML_deep_NVS-IC_Batch1-2,30486,556,29930,1.8237879682477203,0.5264487266540527,0.27766960859298706,0.934520959854126,995,pre_cpm,30
FH_5143_2,8116,51,8065,0.6283883686545096,0.4369727373123169,0.27332574129104614,0.934520959854126,995,pre_cpm,30
FH_6088_2,7373,42,7331,0.5696460056964601,0.4572334885597229,0.26719528436660767,0.934520959854126,995,pre_cpm,30
FH_6088_3,6801,77,6724,1.132186443170122,0.5438716411590576,0.2591238021850586,0.934520959854126,995,pre_cpm,30
GSM3396161_HEALTHY,2994,66,2928,2.2044088176352705,0.6517854332923889,0.2551112771034241,0.934520959854126,986,pre_cpm,30
GSM3396162_HEALTHY,3293,160,3133,4.858791375645309,0.7467270493507385,0.22850501537322998,0.934520959854126,986,pre_cpm,30
GSM3396163_HEALTHY,3556,256,3300,7.19910011248594,0.7133185863494873,0.2340589016675949,0.934520959854126,986,pre_cpm,30
GSM3396164_HEALTHY,1052,71,981,6.749049429657794,0.74817955493927,0.23535750806331635,0.934520959854126,986,pre_cpm,30
GSM3396165_HEALTHY,3136,214,2922,6.823979591836735,0.7081505060195923,0.23745353519916534,0.934520959854126,986,pre_cpm,30
GSM3396166_HEALTHY,3939,247,3692,6.270627062706271,0.7313029766082764,0.22171317040920258,0.934520959854126,986,pre_cpm,30
GSM3396167_HEALTHY,3746,187,3559,4.991991457554725,0.7316959500312805,0.25250911712646484,0.934520959854126,986,pre_cpm,30
GSM3396168_HEALTHY,4283,443,3840,10.343217371001634,0.7146583795547485,0.23451542854309082,0.934520959854126,986,pre_cpm,30
GSM3396169_HEALTHY,4516,212,4304,4.694419840566874,0.7230929732322693,0.24312721192836761,0.934520959854126,986,pre_cpm,30
GSM3396170_HEALTHY,3446,154,3292,4.468949506674405,0.7221924662590027,0.23951517045497894,0.934520959854126,986,pre_cpm,30
GSM3396171_HEALTHY,7247,276,6971,3.8084724713674625,0.7391219735145569,0.24247905611991882,0.934520959854126,986,pre_cpm,30
GSM3396172_HEALTHY,4548,129,4419,2.836411609498681,0.712023913860321,0.2548521161079407,0.934520959854126,986,pre_cpm,30
GSM3396173_HEALTHY,3964,247,3717,6.231079717457114,0.7126482129096985,0.24870890378952026,0.934520959854126,986,pre_cpm,30
GSM3396174_HEALTHY,4522,236,4286,5.218929677134011,0.7521941065788269,0.2394188493490219,0.934520959854126,986,pre_cpm,30
GSM3396175_HEALTHY,5013,157,4856,3.1318571713544783,0.6955740451812744,0.27892616391181946,0.934520959854126,986,pre_cpm,30
GSM3396176_HEALTHY,3383,66,3317,1.950931126219332,0.6777548789978027,0.240469828248024,0.934520959854126,986,pre_cpm,30
GSM3396177_HEALTHY,1700,128,1572,7.529411764705881,0.7303410768508911,0.2365734577178955,0.934520959854126,986,pre_cpm,30
GSM3396178_HEALTHY,3593,254,3339,7.069301419426663,0.7491472959518433,0.23717060685157776,0.934520959854126,986,pre_cpm,30
GSM3396179_HEALTHY,2437,136,2301,5.580631924497332,0.7125534415245056,0.23717950284481049,0.934520959854126,986,pre_cpm,30
GSM3396180_HEALTHY,1138,70,1068,6.151142355008787,0.7471828460693359,0.24131006002426147,0.934520959854126,986,pre_cpm,30
GSM3396181_HEALTHY,2367,91,2276,3.8445289395859743,0.6658681035041809,0.2642102837562561,0.934520959854126,986,pre_cpm,30
GSM3396182_HEALTHY,4726,303,4423,6.411341515023275,0.7591108083724976,0.2467147558927536,0.934520959854126,986,pre_cpm,30
GSM3396183_HEALTHY,4293,110,4183,2.5623107384113673,0.7133448719978333,0.2492860108613968,0.934520959854126,986,pre_cpm,30
GSM3396184_HEALTHY,4118,104,4014,2.525497814473045,0.6940324902534485,0.24969355762004852,0.934520959854126,986,pre_cpm,30
GSM3396185_HEALTHY,3643,222,3421,6.093878671424649,0.7673994302749634,0.23356910049915314,0.934520959854126,986,pre_cpm,30
