	FH_5897_2	FH_6333_2	GSM3396161	GSM3396162	GSM3396163	GSM3396164	GSM3396165	GSM3396166	GSM3396167	GSM3396168	GSM3396169	GSM3396170	GSM3396171	GSM3396172	GSM3396173	GSM3396174	GSM3396175	GSM3396176	GSM3396177	GSM3396178	GSM3396179	GSM3396180	GSM3396181	GSM3396182	GSM3396183	GSM3396184	GSM3396185	GSM3516666_NORMAL	GSM3516665_PRIMARY	GSM3516667_PRIMARY	GSM3516664_METASTASIS	GSM3516668_METASTASIS
Hippo signaling pathway - Homo sapiens (human)	-0.16162046773147046	-2.3651513592367936	0.01840747341383801	-0.23128028852198934	-1.2941247957677413	0.697717915749773	-1.1303840869910053	-0.9719517746923075	-0.07549415236115642	-1.4684727447795973	-1.0676697616888478	0.2664514865336231	-0.4886179176868647	-0.3712253389011778	-0.1323920754305435	-0.3976194088250123	-0.48534120396010805	0.7673388459454127	-0.12855265795991747	0.21973459882016275	0.746156787921685	2.2275434634885523	1.0612050877738235	1.9233455581642207	-0.06687582078827704	-0.3927899875341812	0.6293852252692378	-1.638577052743247	-0.2277550772694931	0.49183511738727254	4.50488201303791	-0.4581076006357806
Hepatitis C - Homo sapiens (human)	-0.16162046773147046	-2.3651513592367936	0.01840747341383801	-0.23128028852198934	-1.2941247957677413	0.697717915749773	-1.1303840869910053	-0.9719517746923075	-0.07549415236115642	-1.4684727447795973	-1.0676697616888478	0.2664514865336231	-0.4886179176868647	-0.3712253389011778	-0.1323920754305435	-0.3976194088250123	-0.48534120396010805	0.7673388459454127	-0.12855265795991747	0.21973459882016275	0.746156787921685	2.2275434634885523	1.0612050877738235	1.9233455581642207	-0.06687582078827704	-0.3927899875341812	0.6293852252692378	-1.638577052743247	-0.2277550772694931	0.49183511738727254	4.50488201303791	-0.4581076006357806
Gastric cancer - Homo sapiens (human)	-0.16162046773147046	-2.3651513592367936	0.01840747341383801	-0.23128028852198934	-1.2941247957677413	0.697717915749773	-1.1303840869910053	-0.9719517746923075	-0.07549415236115642	-1.4684727447795973	-1.0676697616888478	0.2664514865336231	-0.4886179176868647	-0.3712253389011778	-0.1323920754305435	-0.3976194088250123	-0.48534120396010805	0.7673388459454127	-0.12855265795991747	0.21973459882016275	0.746156787921685	2.2275434634885523	1.0612050877738235	1.9233455581642207	-0.06687582078827704	-0.3927899875341812	0.6293852252692378	-1.638577052743247	-0.2277550772694931	0.49183511738727254	4.50488201303791	-0.4581076006357806
Cellular senescence - Homo sapiens (human)	-0.16162046773147046	-2.3651513592367936	0.01840747341383801	-0.23128028852198934	-1.2941247957677413	0.697717915749773	-1.1303840869910053	-0.9719517746923075	-0.07549415236115642	-1.4684727447795973	-1.0676697616888478	0.2664514865336231	-0.4886179176868647	-0.3712253389011778	-0.1323920754305435	-0.3976194088250123	-0.48534120396010805	0.7673388459454127	-0.12855265795991747	0.21973459882016275	0.746156787921685	2.2275434634885523	1.0612050877738235	1.9233455581642207	-0.06687582078827704	-0.3927899875341812	0.6293852252692378	-1.638577052743247	-0.2277550772694931	0.49183511738727254	4.50488201303791	-0.4581076006357806
Human papillomavirus infection - Homo sapiens (human)	-0.16162046773147046	-2.3651513592367936	0.01840747341383801	-0.23128028852198934	-1.2941247957677413	0.697717915749773	-1.1303840869910053	-0.9719517746923075	-0.07549415236115642	-1.4684727447795973	-1.0676697616888478	0.2664514865336231	-0.4886179176868647	-0.3712253389011778	-0.1323920754305435	-0.3976194088250123	-0.48534120396010805	0.7673388459454127	-0.12855265795991747	0.21973459882016275	0.746156787921685	2.2275434634885523	1.0612050877738235	1.9233455581642207	-0.06687582078827704	-0.3927899875341812	0.6293852252692378	-1.638577052743247	-0.2277550772694931	0.49183511738727254	4.50488201303791	-0.4581076006357806
Hepatocellular carcinoma - Homo sapiens (human)	-0.16162046773147046	-2.3651513592367936	0.01840747341383801	-0.23128028852198934	-1.2941247957677413	0.697717915749773	-1.1303840869910053	-0.9719517746923075	-0.07549415236115642	-1.4684727447795973	-1.0676697616888478	0.2664514865336231	-0.4886179176868647	-0.3712253389011778	-0.1323920754305435	-0.3976194088250123	-0.48534120396010805	0.7673388459454127	-0.12855265795991747	0.21973459882016275	0.746156787921685	2.2275434634885523	1.0612050877738235	1.9233455581642207	-0.06687582078827704	-0.3927899875341812	0.6293852252692378	-1.638577052743247	-0.2277550772694931	0.49183511738727254	4.50488201303791	-0.4581076006357806
Chemical carcinogenesis - receptor activation - Homo sapiens (human)	-0.16162046773147046	-2.3651513592367936	0.01840747341383801	-0.23128028852198934	-1.2941247957677413	0.697717915749773	-1.1303840869910053	-0.9719517746923075	-0.07549415236115642	-1.4684727447795973	-1.0676697616888478	0.2664514865336231	-0.4886179176868647	-0.3712253389011778	-0.1323920754305435	-0.3976194088250123	-0.48534120396010805	0.7673388459454127	-0.12855265795991747	0.21973459882016275	0.746156787921685	2.2275434634885523	1.0612050877738235	1.9233455581642207	-0.06687582078827704	-0.3927899875341812	0.6293852252692378	-1.638577052743247	-0.2277550772694931	0.49183511738727254	4.50488201303791	-0.4581076006357806
Epstein-Barr virus infection - Homo sapiens (human)	-0.16162046773147046	-2.3651513592367936	0.01840747341383801	-0.23128028852198934	-1.2941247957677413	0.697717915749773	-1.1303840869910053	-0.9719517746923075	-0.07549415236115642	-1.4684727447795973	-1.0676697616888478	0.2664514865336231	-0.4886179176868647	-0.3712253389011778	-0.1323920754305435	-0.3976194088250123	-0.48534120396010805	0.7673388459454127	-0.12855265795991747	0.21973459882016275	0.746156787921685	2.2275434634885523	1.0612050877738235	1.9233455581642207	-0.06687582078827704	-0.3927899875341812	0.6293852252692378	-1.638577052743247	-0.2277550772694931	0.49183511738727254	4.50488201303791	-0.4581076006357806
Human cytomegalovirus infection - Homo sapiens (human)	-0.16162046773147046	-2.3651513592367936	0.01840747341383801	-0.23128028852198934	-1.2941247957677413	0.697717915749773	-1.1303840869910053	-0.9719517746923075	-0.07549415236115642	-1.4684727447795973	-1.0676697616888478	0.2664514865336231	-0.4886179176868647	-0.3712253389011778	-0.1323920754305435	-0.3976194088250123	-0.48534120396010805	0.7673388459454127	-0.12855265795991747	0.21973459882016275	0.746156787921685	2.2275434634885523	1.0612050877738235	1.9233455581642207	-0.06687582078827704	-0.3927899875341812	0.6293852252692378	-1.638577052743247	-0.2277550772694931	0.49183511738727254	4.50488201303791	-0.4581076006357806
One carbon pool by folate - Homo sapiens (human)	0.29747048332877823	-0.20357252146968224	2.250994916025665	1.6110877780497768	0.23678681712345034	-1.1514870993452528	0.1691434692345536	-1.1936314444364415	0.03921171732395652	-0.685696620301178	-1.0139213951148358	0.9888574645761062	-1.0393734592957737	-0.1777747585367982	0.3378561694912832	-0.8545913606713994	0.5676229003422613	1.3436139425164266	-1.0081544103681306	-0.8501835768449147	0.0007869747835619982	-1.2848107293260562	0.13482503737942494	-0.8648299588942937	0.40324824471262827	0.7321876068346013	-0.059704480598078924	0.008333501895657115	0.43402623078058516	-2.0312034595835833	3.513349144028493	-0.6504671236407906
Wnt signaling pathway - Homo sapiens (human)	1.3890360389849963	3.3711664043969654	-0.5057729664517696	-0.5709002301660412	1.0930984995401183	-0.6654973979016576	0.7941367952145875	1.3130026246126685	0.1637953368062528	1.4760489431023693	1.6896814013016914	-0.38065693272215545	0.5433158023527302	0.28343686187322875	-0.003895233239317605	0.47250943837461823	0.6052989717553608	-1.3077370630108593	0.21216148392805478	-0.058095347407412026	-1.0737236131174732	-2.26783030763254	-1.478607260406039	-1.920937904737918	-0.11917206439305747	0.09220426945588311	-0.3622259578502677	1.397659981633432	0.17518890734991974	0.30265343364528297	-5.368788511812701	0.70944559652105
Amyotrophic lateral sclerosis - Homo sapiens (human)	-0.9238368363090202	2.7670086754006507	-0.24618537156370476	-0.6942020769795193	0.5396030642405314	-0.4108197294051697	0.7620302958103409	1.5297674002158974	-0.4031191764441627	1.0183668903475471	1.3647950050671287	-0.7143410879600589	0.907860544112631	0.5263396710005891	-0.4538970097003489	0.286163475664405	0.4665518914046122	-1.240963625642144	0.2902148907299593	-0.33486107898541045	-0.7387333155309108	-0.7978150220041687	-1.4247269271127192	-1.7926292499541816	-0.4133913425891169	-0.10700058821040241	-0.3670945433260999	2.226987277721658	0.9887500220382274	0.20916910549799847	-3.1414421324951225	0.3214509049600838
