module,perm_p
RTK_signaling,0.0007998400319936012
GO_morphogenesis_epithelium,0.001999600079984003
Cell_adhesion_Ephrins,0.009198160367926415
WNT_pathway,0.0061987602479504095
Stemness_markers,0.07678464307138572
