module,n_genes_used,n_genes_total,auc,cohens_d,t_stat,p_value,perm_p,auc_ci_lo,auc_ci_hi,rank_score,p_adj_bh,aucpr,mean_aml,mean_healthy,variance_explained,q_value
RTK_signaling,6,6,0.9166666666666669,2.805619673047742,3.073806352604984,0.0269671985677182,,,,1.6641577096487814,0.0762875141093237,,,,,0.0692847937773768
GO_morphogenesis_epithelium,56,56,0.8782051282051282,2.463799253487203,2.658548689690065,0.0442505322279104,,,,1.4991676186495853,0.0762875141093237,,,,,0.0692847937773768
Cell_adhesion_Ephrins,13,13,0.814102564102564,2.4687563861661936,2.625824288660004,0.0461898625182512,,,,1.4621071341725405,0.0762875141093237,,,,,0.0692847937773768
WNT_pathway,7,7,0.8397435897435898,2.2484830971979037,2.398933655704641,0.0610300112874589,,,,1.3849303893390774,0.0762875141093237,,,,,0.07323601354495067
Stemness_markers,6,6,0.6923076923076923,1.6304870907803044,1.7653180544914908,0.1368040122941133,,,,1.0265382480085032,0.1368040122941133,,,,,0.1368040122941133
ESR1_targets,70,71,0.8333333333333334,1.667348149907135,2.7368085322234,0.039290267449028214,,,,,,0.7879188712522045,7.5794678760553085,-1.7491079713973792,0.42059892970169016,0.0692847937773768
