,FH_5897_2,FH_6333_2,GSM3396161,GSM3396162,GSM3396163,GSM3396164,GSM3396165,GSM3396166,GSM3396167,GSM3396168,GSM3396169,GSM3396170,GSM3396171,GSM3396172,GSM3396173,GSM3396174,GSM3396175,GSM3396176,GSM3396177,GSM3396178,GSM3396179,GSM3396180,GSM3396181,GSM3396182,GSM3396183,GSM3396184,GSM3396185,GSM3516666_NORMAL,GSM3516665_PRIMARY,GSM3516667_PRIMARY,GSM3516664_METASTASIS,GSM3516668_METASTASIS
RTK_signaling,0.5306569101782912,-0.9378389808784572,-0.041871237393289,0.0172995711361203,-0.9907333521790944,-1.180307040537412,-1.0283750866203734,-0.8574817213589264,-0.7829831709549955,-1.1098142312447916,-0.9347109689958704,-0.8188035959532185,-1.057880548998064,-0.8956363858804799,-1.1007992075068158,-1.0438349838332437,-0.6383319964001812,-0.5378171130436022,-1.1927512772027824,-0.9820893306149252,-1.123516320921464,-0.9778215808057306,-1.0038735719892806,-1.30764363456667,-1.3344306156987342,-0.7048087140768177,-0.7789153300682281,2.1486820522618286,4.3721484871752105,2.9249873814809657,8.186193254243378,5.183102341247656
GO_morphogenesis_epithelium,0.327082284553038,-2.807975972431968,-1.103559577358587,-1.3048222633739457,-3.253740121945345,-2.2622898141138124,-3.4458231814522757,-4.611355619011342,-2.271530803501153,-5.006752756704915,-3.4061362017974472,-2.230067832837464,-2.8219967446337004,-2.405867664055987,-3.0435523059617746,-2.0868108419442137,-1.551844136080122,-2.1478554060770634,-3.690904322437648,-3.332591279192095,-2.2593802851973286,0.9670400333874226,-1.905827295589864,-0.2340984434339977,-2.350954184684469,-1.7874366055723885,-2.036751111335134,5.056515555103829,15.883988355179593,6.552670910344134,25.080942060400197,9.491685571755832
Cell_adhesion_Ephrins,-0.6849040068790055,-1.8986345090298973,-0.3878543747274173,-0.8834132220126187,-1.539582526734507,-1.134693742708302,-1.6908564870250646,-2.127331541994671,-1.044313791624048,-2.2707525947691143,-1.239931382258474,-1.2765052267049832,-0.8603921779794912,-0.6624170675419447,-1.1494491570937564,-0.8484422946411363,0.0523045736926596,-1.3266718172402616,-1.9622329550859656,-1.9489632073557317,-0.8440438366531506,0.6170776645069758,-0.5139717514468907,-0.4305550057079577,-0.9881327850551676,-0.7223282608133028,-1.3293987515012078,1.2917117211139597,8.823339873604494,4.097368545792552,9.91747240718433,4.966497688689093
WNT_pathway,0.0906796648736085,-1.5281848550437882,-0.916441595130692,-0.12542264665366,-1.1488953025730553,-0.3421891391802461,-1.3813627766952563,-1.7685229155471518,-0.7839177905981063,-1.7747719123933448,-1.564977777123826,-0.4211589706913087,-1.6279251880069985,-0.8771454845500805,-1.1182700992372148,-0.956453309174021,-0.2730435745558578,-0.3234440922366242,-1.2248145386128324,-0.8212207212011522,-0.208217444420737,0.5025107317442463,-0.5739013492603474,0.4210389839808074,-0.9570896379692486,-0.7044686171612018,-0.4173929056058604,0.700341601791204,4.907034461388932,1.836980495068374,9.426189846746526,3.954456858028912
Stemness_markers,-0.9888020119608087,-2.122856441694992,0.1683304958488341,-0.5268189092138492,-1.1353908239669996,-1.1052908704283562,-1.257492071989439,-1.3056002757370375,-0.2654976497353605,-1.982662576208396,-0.692960174797599,-0.5254845372839274,-0.2550743858011179,-0.1415446937719856,-0.739943405515768,-0.1140079589387368,-0.0679508855810959,-0.8897939924808556,-0.615390397339784,-0.492692168294185,-0.5641353538686938,-0.205935347302118,-0.5255616805404667,-0.0732693179927051,-0.4485383040780179,-0.0146444819420664,-0.2857203833601439,1.7513382614738602,5.36104736306649,2.2094007418400103,6.773400014102382,1.0795422234929306
ESR1_targets,-0.47659762477036544,-3.8112455628423545,-0.7416439091805697,-1.4839808688175722,-4.049820426270525,-2.442483966250928,-3.966466078490009,-4.771156636603024,-1.725616304456455,-5.303155911863477,-3.277757650768529,-2.475604763526589,-1.8901711224709759,-0.22930808782467166,-3.1530832845490613,-1.0004782565339687,-0.08635031506575754,-2.795698875825606,-3.13808092486151,-2.788090959168642,-1.5090365250443474,-0.5640236047572327,-1.170586210443937,0.03212891349978634,-2.2050552465307676,-0.8829057153887186,-1.7334260533080588,7.87504552816929,18.549926014951083,9.084046780252576,10.739473259413124,11.391204389327791
